ITS2 type profile UID		147273	147280	146406	147274	146145	146548	146128	146561	146551	147367	147272	146487	147794
Clade		C	C	C	C	C	C	C	C	C	C	C	C	D
Majority ITS2 sequence		C15	C15	C15	C15	C15	C15	C15	C15	C15	C15	C15	C15	D4
Associated species		None	None	None	None	None	None	None	None	None	None	None	None	None
ITS2 profile abundance local		16	16	14	6	5	4	3	2	2	1	1	1	1
ITS2 profile abundance DB		37	19	166	46	219	28	23	11	10	89	8	3	4
ITS2 type profile		C15/C15ev	C15-C15bn-C15ij-C15ac	C15-C15bn-C15by	C15-C15bn-C15ij-C15ev	C15-C15l-C15n-C15bb-C15.8	C15-C15by-C15er	C15/C15ed	C15-C15l-C15n-C15br-C15bb	C15-C15bi-C15bb	C15	C15-C15ii	C15-C15bd	D4-D5m
135525	B7_S19	0.8825096182302457	0	0	0	0	0	0	0	0	0	0	0	0
135548	D6_S42	0.879543239103189	0	0	0	0	0	0	0	0	0	0	0	0
135517	B10_S22	0.8751199232491206	0	0	0	0	0	0	0	0	0	0	0	0
135541	D10_S46	0.8721531691500038	0	0	0	0	0	0	0	0	0	0	0	0
135547	D5_S41	0.8708168039873868	0	0	0	0	0	0	0	0	0	0	0	0
135536	C6_S30	0.8694681549573211	0	0	0	0	0	0	0	0	0	0	0	0
135560	E6_S54	0.8689962411248782	0	0	0	0	0	0	0	0	0	0	0	0
135558	E4_S52	0.8653468339126492	0	0	0	0	0	0	0	0	0	0	0	0
135516	B1_S13	0.8648697539797395	0	0	0	0	0	0	0	0	0	0	0	0
135537	C7_S31	0.8621944121071012	0	0	0	0	0	0	0	0	0	0	0	0
135522	B4_S16	0.8604123321354266	0	0	0	0	0	0	0	0	0	0	0	0
135556	E2_S50	0.8571428571428571	0	0	0	0	0	0	0	0	0	0	0	0
135521	B3_S15	0.8559043348281017	0	0	0	0	0	0	0	0	0	0	0	0
135539	C9_S33	0.8489062235034763	0	0	0	0	0	0	0	0	0	0	0	0
135535	C5_S29	0.8272613778231755	0	0	0	0	0	0	0	0	0	0	0	0
135506	A10_S10	0.7364710848459265	0	0	0	0	0	0	0	0	0	0	0	0.03212325875897003
135519	B12_S24	0	0.9383862008478293	0	0	0	0	0	0	0	0	0	0	0
135576	H1_S85	0	0.922100251289512	0	0	0	0	0	0	0	0	0	0	0
135520	B2_S14	0	0.9128910085565998	0	0	0	0	0	0	0	0	0	0	0
135530	C11_S35	0	0.9068439513826576	0	0	0	0	0	0	0	0	0	0	0
135529	C10_S34	0	0.904134762633997	0	0	0	0	0	0	0	0	0	0	0
